JobTitle,CompanyName,Category,Salary,JobType,JobFunction,PositionLevel,WorkingDay,WorkingHour,Location,DetailLocation,WorkingExperience,Qualification,Age
Sous Chef,Jobs.PhnomList & Business Training Center,Human Resource / Recruitment,Negotiable,Full Time,General Work,Senior Executive,6-day work/week,Office Hour,Phnom Penh,"#106, St.304, Sangkat Beoung kang kong II, Khan Chamkarman, Phnom Penh",< 2 years,High School or equivalent,18 - 50
Assistant Admin & Acc,Eco Elictric (Pickup & Maman),Electrical and Electronics,Negotiable,Full Time,Clerical/Administrative,Junior Executive,6-day work/week,Office Hour,Phnom Penh,"#153,St.Mao Tse Toung Blvd, Phnom Penh., Phnom Penh",No preference,Bachelor's Degree,18 - 50
Accountant / Stock Controller,Meng Dy Europegas,Automotive / Vehicle,Negotiable,Full Time,General/Cost Accounting,Fresh/Entry Level,,,Phnom Penh,"BanteayMeanchey, Siem Reap, Battambang, Phnom Penh, Phnom Penh",< 2 years,Bachelor's Degree,18 - 28
Tax Accountant (Urgent),LIM & TAN Business Solutions.,Human Resource / Recruitment,Negotiable,Full Time,Audit and Taxation,Non-Executive,,,Phnom Penh,"No. 314Eo, Street 150, Sangkat Teuk Laak II, Khan Toul Kok, Phnom Penh., Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
Account officer,"Thai huot Trading Co,. Ltd",Food and Berverage,Negotiable,Full Time,General/Cost Accounting,Non-Executive,,,Phnom Penh,"No. Land 1565, St. Vengsreng, Sangkat Chaom Chau, Khan Por sen chey, Phnom Penh, Cambodia.. or via by Email below. Email hr@thaihuot.comWebsite http//thaihuot@online.com, Phnom Penh",< 2 years,Bachelor's Degree,18 - 50
Sale and Marketing Manager (3% incentive),"Agriculture, Property & Project Division",Construction / Building / Architecture,Negotiable,Full Time,Top Management,Senior Executive,6-day work/week,Office Hour,Phnom Penh,"Canadia Tower, Room 26A, Floor 26F,St. #315 (Ang Doung), Sangkat Wat Phnom, Khan Doun Penh, Phnom Penh, Cambodia, Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
Sale & Marketing ($160 - $200),Metfone Battambang Branch,Telecommunication,< $200 USD,Full Time,Retail Sales/General,Non-Executive,,,Phnom Penh,"Battambang Branch, Battambang",< 2 years,Bachelor's Degree,18 - 50
Sale Staff (Urgent),"HENG MENG LONG TRADING CO., LTD",Retail / Trading Distribution / Cosumer Products ,Negotiable,Full Time,Sales-Corporate,Junior Executive,,,Phnom Penh,"#25-26, National Road 5, Sangkat Km6, Khan Russey Keo, Phnom Penh., Phnom Penh",< 2 years,Bachelor's Degree,18 - 50
Financial Accountant (1),M Entertainment Production,Entertainment,Negotiable,Full Time,Corporation Finance/Investment,Non-Executive,,,Phnom Penh,"No 1c, St 134, Sangkat Veal Vong, Kan 7 Makara, Phnom Penh, Cambodia., Phnom Penh",No preference,Bachelor's Degree,18 - 50
Marketing Officer,World Vision International,NGO / Non Profit / Social Service,Negotiable,Full Time,Marketing/Business Development,Non-Executive,,,Phnom Penh,"Cambodia, # 20,St.71, Sangkat Tonle Basak, Khan Chamkamorn, Phnom Penh, P.O. Box: 479, Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
HR & Admin Executive (Urgent),LIM & TAN Business Solutions.,Human Resource / Recruitment,Negotiable,Full Time,Human Resource,Junior Executive,,,Phnom Penh,"No. 314Eo, Street 150, Sangkat Teuk Laak II, Khan Toul Kok, Phnom Penh., Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
Sale Executive,M Entertainment Production,Entertainment,Negotiable,Full Time,Sales-Corporate,Non-Executive,,,Phnom Penh,"No 1c, St 134, Sangkat Veal Vong, Kan 7 Makara, Phnom Penh, Cambodia., Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
Sale out door (Urgent),"Phnom Penh Media Co., Ltd.",Advertising / PR / Events,Negotiable,Full Time,Retail Sales/General,Junior Executive,,,Phnom Penh,"#34, 1st & 2nd Floor, Street Samdech Pan (214), Sangkat Beung Raing, Khan Daun Penh, Phnom Penh City, Kingdom of Cambodia., Phnom Penh",< 2 years,Bachelor's Degree,22 - 35
Executive Assistant,"ELEVEN 11 PP CO., LTD",General Business,Negotiable,Full Time,General/Cost Accounting,Senior Executive,5 (1/2)-day work/week,Office Hour,Phnom Penh,"#19, Street 217, Phum 7, Sangkat Veal Vong, Khan 7 Makara, Phnom Penh, Cambodia.  , Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
Accountant Supervisor/Manager,"ELEVEN 11 PP CO., LTD",General Business,Negotiable,Full Time,General/Cost Accounting,Manager,5 (1/2)-day work/week,Office Hour,Phnom Penh,"#19, Street 217, Phum 7, Sangkat Veal Vong, Khan 7 Makara, Phnom Penh, Cambodia.  , Phnom Penh",2-5 years,Bachelor's Degree,20 - 50
Internal Audit Supervisor,"ELEVEN 11 PP CO., LTD",General Business,Negotiable,Full Time,Audit and Taxation,Senior Executive,5 (1/2)-day work/week,Office Hour,Phnom Penh,"#19, Street 217, Phum 7, Sangkat Veal Vong, Khan 7 Makara, Phnom Penh, Cambodia.  , Phnom Penh",2-5 years,Bachelor's Degree,20 - 50
Senior Accountant,"ELEVEN 11 PP CO., LTD",General Business,Negotiable,Full Time,General/Cost Accounting,Senior Executive,5 (1/2)-day work/week,Office Hour,Poipet,"#19, Street 217, Phum 7, Sangkat Veal Vong, Khan 7 Makara, Phnom Penh, Cambodia.  , Phnom Penh",< 2 years,Bachelor's Degree,20 - 50
Senior Accountant/Supervisor,"ELEVEN 11 PP CO., LTD",General Business,Negotiable,Full Time,General/Cost Accounting,Senior Executive,5 (1/2)-day work/week,Office Hour,Poipet,"#19, Street 217, Phum 7, Sangkat Veal Vong, Khan 7 Makara, Phnom Penh, Cambodia.  , Phnom Penh",< 2 years,Bachelor's Degree,20 - 40
Technician (MEP),ENSEAS Cambodia,Construction / Building / Architecture,Negotiable,Full Time,General Work,Senior Executive,5-day work/week,Office Hour,Phnom Penh,"Phnom Penh, Phnom Penh",2-5 years,Bachelor's Degree,18 - 40
Female Foreign English Teacher Required,Grandview School,General Business,$501 - $1000 USD,Full Time,Education,Kindergarten/pre-k,5-day work/week,Office Hour,Phnom Penh,"Phnom Penh, Phnom Penh",< 2 years,Bachelor's Degree,18 - 50
ត្រូវការអ្នកលក់ជាបន្ទាន់  Indoor/Outdoor Sales,"​​ROYAL CAMBODIA CO., LTD (RCC)(Canon)",Retail / Trading Distribution / Cosumer Products ,Negotiable,Full Time,Retail Sales/General,Fresh/Entry Level,,,Phnom Penh,"#81 Preah Trasak Paem Street (St.63) corner of Street 158, Phnom Penh, Kingdom of Cambodia, Phnom Penh",< 2 years,Bachelor's Degree,20 - 50
Area Operational Manager/ Platform Manager,1001 Fontaines ( Teuk Saat 1001 ),NGO / Non Profit / Social Service,Negotiable,Full Time,Top Management,Senior Executive,,,Phnom Penh,"#100, St. 95, Sangkat Boeung Trabek, Khan Chamkar Mon, Phnom Penh",2-5 years,Master's Degree,18 - 50
"Sous Chef, Chef De Parties, Demi Chef, Commis",NagaWorld­ Limited,Hotel / Resort / Travel,Negotiable,Full Time,Food/Beverage/Restaurant,Non-Executive,,,Phnom Penh,"Naga World, Samdech Techo, Hun Sen Park, Cambodia, Phnom Penh",2-5 years,Phd Degree,18 - 50
Account Assistant,"CCW - Construction Chemicals World Co., Ltd",Construction / Building / Architecture,Negotiable,Full Time,General/Cost Accounting,Junior Executive,,,Phnom Penh,"Time Tower Building, G Floor, #331, St.271, Sangkat Toul Tom Pung2, Khan Chamkamorn, Phnom Penh",< 2 years,Bachelor's Degree,18 - 50
Vice Principal (English Kindergarten & Young Learner Programs),Westline School,Education / Training,Negotiable,Full Time,Top Management,Junior Executive,,,Phnom Penh,"#9A(EDI’s building)St. 370, Sangkat Boeung Keng Kang I, Khan Chamkarmorn , Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
Account Executive,Sok Long Heng Garment factory,Retail / Trading Distribution / Cosumer Products ,Negotiable,Full Time,General/Cost Accounting,Junior Executive,,,Phnom Penh,"Lu 5. Phum Trea 4, Sangkat Steong Mean Chey, Kham Mean Chey , Phnom Penh",< 2 years,Bachelor's Degree,18 - 50
